location,date,new_cases,tokyo_increase_color,italy_increase_color
Japan,2021-05-12,7521,orange,orange
Japan,2021-05-13,6367,orange,orange
Japan,2021-05-14,6288,orange,orange
Japan,2021-05-15,6331,orange,orange
Japan,2021-05-16,5265,orange,orange
Japan,2021-05-17,3738,orange,orange
Japan,2021-05-18,5204,orange,orange
Japan,2021-05-19,5854,orange,orange
Japan,2021-05-20,5710,orange,orange
Japan,2021-05-21,5254,orange,orange
Japan,2021-05-22,4985,orange,orange
Japan,2021-05-23,4045,orange,orange
Japan,2021-05-24,2743,orange,orange
Japan,2021-05-25,3918,orange,orange
Japan,2021-05-26,4485,orange,orange
Japan,2021-05-27,4163,orange,orange
Japan,2021-05-28,3701,orange,orange
Japan,2021-05-29,3604,orange,orange
Japan,2021-05-30,2853,orange,orange
Japan,2021-05-31,1796,orange,orange
Japan,2021-06-01,2641,orange,orange
Japan,2021-06-02,3036,orange,orange
Japan,2021-06-03,2848,orange,orange
Japan,2021-06-04,2577,orange,orange
Japan,2021-06-05,2663,orange,orange
Japan,2021-06-06,2027,orange,orange
Japan,2021-06-07,1205,orange,orange
Japan,2021-06-08,1883,orange,orange
Japan,2021-06-09,2245,orange,orange
Japan,2021-06-10,2044,orange,orange
Japan,2021-06-11,1936,orange,orange
Japan,2021-06-12,1947,orange,orange
Japan,2021-06-13,1384,orange,orange
Japan,2021-06-14,941,orange,orange
Japan,2021-06-15,1414,orange,orange
Japan,2021-06-16,1717,orange,orange
Japan,2021-06-17,1545,orange,orange
Japan,2021-06-18,1636,orange,orange
Japan,2021-06-19,1507,orange,orange
Japan,2021-06-20,1318,orange,orange
Japan,2021-06-21,864,orange,orange
Japan,2021-06-22,1443,orange,orange
Japan,2021-06-23,1778,orange,orange
Japan,2021-06-24,1665,orange,orange
Japan,2021-06-25,1727,orange,orange
Italy,2020-01-31,2,orange,orange
Italy,2020-02-01,0,orange,orange
Italy,2020-02-02,0,orange,orange
Italy,2020-02-03,0,orange,orange
Italy,2020-02-04,0,orange,orange
Italy,2020-02-05,0,orange,orange
Italy,2020-02-06,0,orange,orange
Italy,2020-02-07,1,orange,orange
Italy,2020-02-08,0,orange,orange
Italy,2020-02-09,0,orange,orange
Italy,2020-02-10,0,orange,orange
Italy,2020-02-11,0,orange,orange
Italy,2020-02-12,0,orange,orange
Italy,2020-02-13,0,orange,orange
Italy,2020-02-14,0,orange,orange
Italy,2020-02-15,0,orange,orange
Italy,2020-02-16,0,orange,orange
Italy,2020-02-17,0,orange,orange
Italy,2020-02-18,0,orange,orange
Italy,2020-02-19,0,orange,orange
Italy,2020-02-20,0,orange,orange
Italy,2020-02-21,17,orange,orange
Italy,2020-02-22,42,orange,orange
Italy,2020-02-23,93,orange,orange
Italy,2020-02-24,74,orange,orange
Italy,2020-02-25,93,orange,orange
Italy,2020-02-26,131,orange,orange
Italy,2020-02-27,202,orange,orange
Italy,2020-02-28,233,orange,orange
Italy,2020-02-29,240,orange,orange
Italy,2020-03-01,566,orange,orange
Italy,2020-03-02,342,orange,orange
Italy,2020-03-03,466,orange,orange
Italy,2020-03-04,587,orange,orange
Italy,2020-03-05,769,orange,orange
Italy,2020-03-06,778,orange,orange
Italy,2020-03-07,1247,orange,orange
Italy,2020-03-08,1492,orange,orange
Italy,2020-03-09,1797,orange,orange
Italy,2020-03-10,977,orange,orange
Italy,2020-03-11,2313,orange,orange
Italy,2020-03-12,2651,orange,orange
Italy,2020-03-13,2547,orange,orange
Italy,2020-03-14,3497,orange,orange
Italy,2020-03-15,3590,orange,orange
Italy,2020-03-16,3233,orange,orange
Italy,2020-03-17,3526,orange,orange
Italy,2020-03-18,4207,orange,orange
Italy,2020-03-19,5322,orange,orange
Italy,2020-03-20,5986,orange,orange
Italy,2020-03-21,6557,orange,orange
Italy,2020-03-22,5560,orange,orange
Italy,2020-03-23,4789,orange,orange
Italy,2020-03-24,5249,orange,orange
Italy,2020-03-25,5210,orange,orange
Italy,2020-03-26,6203,orange,orange
Italy,2020-03-27,5909,orange,orange
Italy,2020-03-28,5974,orange,orange
Italy,2020-03-29,5217,orange,orange
Italy,2020-03-30,4050,orange,orange
Italy,2020-03-31,4053,orange,orange
Italy,2020-04-01,4782,orange,orange
Italy,2020-04-02,4668,orange,orange
Italy,2020-04-03,4585,orange,orange
Italy,2020-04-04,4805,orange,orange
Italy,2020-04-05,4316,orange,orange
Italy,2020-04-06,3599,orange,orange
Italy,2020-04-07,3039,orange,orange
Italy,2020-04-08,3836,orange,orange
Italy,2020-04-09,4204,orange,orange
Italy,2020-04-10,3951,orange,orange
Italy,2020-04-11,4694,orange,orange
Italy,2020-04-12,4092,orange,orange
Italy,2020-04-13,3153,orange,orange
Italy,2020-04-14,2972,orange,orange
Italy,2020-04-15,2667,orange,orange
Italy,2020-04-16,3786,orange,orange
Italy,2020-04-17,3493,orange,orange
Italy,2020-04-18,3491,orange,orange
Italy,2020-04-19,3047,orange,orange
Italy,2020-04-20,2256,orange,orange
Italy,2020-04-21,2729,orange,orange
Italy,2020-04-22,3370,orange,orange
Italy,2020-04-23,2646,orange,orange
Italy,2020-04-24,3021,orange,orange
Italy,2020-04-25,2357,orange,orange
Italy,2020-04-26,2324,orange,orange
Italy,2020-04-27,1739,orange,orange
Italy,2020-04-28,2091,orange,orange
Italy,2020-04-29,2086,orange,orange
Italy,2020-04-30,1872,orange,orange
Italy,2020-05-01,1965,orange,orange
Italy,2020-05-02,1900,orange,orange
Italy,2020-05-03,1389,orange,orange
Italy,2020-05-04,1221,orange,orange
Italy,2020-05-05,1075,orange,orange
Italy,2020-05-06,1444,orange,orange
Italy,2020-05-07,1401,orange,orange
Italy,2020-05-08,1327,orange,orange
Italy,2020-05-09,1083,orange,orange
Italy,2020-05-10,802,orange,orange
Italy,2020-05-11,744,orange,orange
Italy,2020-05-12,1402,orange,orange
Italy,2020-05-13,888,orange,orange
Italy,2020-05-14,992,orange,orange
Italy,2020-05-15,789,orange,orange
Italy,2020-05-16,875,orange,orange
Italy,2020-05-17,675,orange,orange
Italy,2020-05-18,451,orange,orange
Italy,2020-05-19,813,orange,orange
Italy,2020-05-20,665,orange,orange
Italy,2020-05-21,642,orange,orange
Italy,2020-05-22,652,orange,orange
Italy,2020-05-23,669,orange,orange
Italy,2020-05-24,531,orange,orange
Italy,2020-05-25,300,orange,orange
Italy,2020-05-26,397,orange,orange
Italy,2020-05-27,584,orange,orange
Italy,2020-05-28,593,orange,orange
Italy,2020-05-29,516,orange,orange
Italy,2020-05-30,416,orange,orange
Italy,2020-05-31,333,orange,orange
Italy,2020-06-01,200,orange,orange
Italy,2020-06-02,318,orange,orange
Italy,2020-06-03,321,orange,orange
Italy,2020-06-04,177,orange,orange
Italy,2020-06-05,518,orange,orange
Italy,2020-06-06,270,orange,orange
Italy,2020-06-07,197,orange,orange
Italy,2020-06-08,280,orange,orange
Italy,2020-06-09,283,orange,orange
Italy,2020-06-10,202,orange,orange
Italy,2020-06-11,379,orange,orange
Italy,2020-06-12,163,orange,orange
Italy,2020-06-13,346,orange,orange
Italy,2020-06-14,338,orange,orange
Italy,2020-06-15,301,orange,orange
Italy,2020-06-16,210,orange,orange
Italy,2020-06-17,328,orange,orange
Italy,2020-06-18,331,orange,orange
Italy,2020-06-19,-148,orange,orange
Italy,2020-06-20,264,orange,orange
Italy,2020-06-21,224,orange,orange
Italy,2020-06-22,221,orange,orange
Italy,2020-06-23,113,orange,orange
Italy,2020-06-24,577,orange,orange
Italy,2020-06-25,296,orange,orange
Italy,2020-06-26,255,orange,orange
Italy,2020-06-27,175,orange,orange
Italy,2020-06-28,174,orange,orange
Italy,2020-06-29,126,orange,orange
Italy,2020-06-30,142,orange,orange
Italy,2020-07-01,182,orange,orange
Italy,2020-07-02,201,orange,orange
Italy,2020-07-03,223,orange,orange
Italy,2020-07-04,235,orange,orange
Italy,2020-07-05,192,orange,orange
Italy,2020-07-06,208,orange,orange
Italy,2020-07-07,137,orange,orange
Italy,2020-07-08,193,orange,orange
Italy,2020-07-09,214,orange,orange
Italy,2020-07-10,276,orange,orange
Italy,2020-07-11,188,orange,orange
Italy,2020-07-12,234,orange,orange
Italy,2020-07-13,169,orange,orange
Italy,2020-07-14,114,orange,orange
Italy,2020-07-15,162,orange,orange
Italy,2020-07-16,230,orange,orange
Italy,2020-07-17,231,orange,orange
Italy,2020-07-18,249,orange,orange
Italy,2020-07-19,218,orange,orange
Italy,2020-07-20,190,orange,orange
Italy,2020-07-21,128,orange,orange
Italy,2020-07-22,280,orange,orange
Italy,2020-07-23,306,orange,orange
Italy,2020-07-24,252,orange,orange
Italy,2020-07-25,274,orange,orange
Italy,2020-07-26,254,orange,orange
Italy,2020-07-27,168,orange,orange
Italy,2020-07-28,202,orange,orange
Italy,2020-07-29,288,orange,orange
Italy,2020-07-30,382,orange,orange
Italy,2020-07-31,379,orange,orange
Italy,2020-08-01,295,orange,orange
Italy,2020-08-02,238,orange,orange
Italy,2020-08-03,159,orange,orange
Italy,2020-08-04,190,orange,orange
Italy,2020-08-05,384,orange,orange
Italy,2020-08-06,401,orange,orange
Italy,2020-08-07,552,orange,orange
Italy,2020-08-08,347,orange,orange
Italy,2020-08-09,463,orange,orange
Italy,2020-08-10,259,orange,orange
Italy,2020-08-11,412,orange,orange
Italy,2020-08-12,476,orange,orange
Italy,2020-08-13,522,orange,orange
Italy,2020-08-14,574,orange,orange
Italy,2020-08-15,629,orange,orange
Italy,2020-08-16,477,orange,orange
Italy,2020-08-17,320,orange,orange
Italy,2020-08-18,401,orange,orange
Italy,2020-08-19,642,orange,orange
Italy,2020-08-20,840,orange,orange
Italy,2020-08-21,947,orange,orange
Italy,2020-08-22,1071,orange,orange
Italy,2020-08-23,1209,orange,orange
Italy,2020-08-24,953,orange,orange
Italy,2020-08-25,876,orange,orange
Italy,2020-08-26,1366,orange,orange
Italy,2020-08-27,1409,orange,orange
Italy,2020-08-28,1460,orange,orange
Italy,2020-08-29,1444,orange,orange
Italy,2020-08-30,1365,orange,orange
Italy,2020-08-31,996,orange,orange
Italy,2020-09-01,975,orange,orange
Italy,2020-09-02,1326,orange,orange
Italy,2020-09-03,1397,orange,orange
Italy,2020-09-04,1732,orange,orange
Italy,2020-09-05,1694,orange,orange
Italy,2020-09-06,1296,orange,orange
Italy,2020-09-07,1150,orange,orange
Italy,2020-09-08,1369,orange,orange
Italy,2020-09-09,1430,orange,orange
Italy,2020-09-10,1597,orange,orange
Italy,2020-09-11,1616,orange,orange
Italy,2020-09-12,1501,orange,orange
Italy,2020-09-13,1456,orange,orange
Italy,2020-09-14,1008,orange,orange
Italy,2020-09-15,1229,orange,orange
Italy,2020-09-16,1452,orange,orange
Italy,2020-09-17,1583,orange,orange
Italy,2020-09-18,1907,orange,orange
Italy,2020-09-19,1637,orange,orange
Italy,2020-09-20,1587,orange,orange
Italy,2020-09-21,1350,orange,orange
Italy,2020-09-22,1391,orange,orange
Italy,2020-09-23,1640,orange,orange
Italy,2020-09-24,1786,orange,orange
Italy,2020-09-25,1912,orange,orange
Italy,2020-09-26,1869,orange,orange
Italy,2020-09-27,1766,orange,orange
Italy,2020-09-28,1494,orange,orange
Italy,2020-09-29,1647,orange,orange
Italy,2020-09-30,1850,orange,orange
Italy,2020-10-01,2548,orange,orange
Italy,2020-10-02,2499,orange,orange
Italy,2020-10-03,2843,orange,orange
Italy,2020-10-04,2578,orange,orange
Italy,2020-10-05,2257,orange,orange
Italy,2020-10-06,2677,orange,orange
Italy,2020-10-07,3677,orange,orange
Italy,2020-10-08,4458,orange,orange
Italy,2020-10-09,5372,orange,orange
Italy,2020-10-10,5724,orange,orange
Italy,2020-10-11,5456,orange,orange
Italy,2020-10-12,4619,orange,orange
Italy,2020-10-13,5898,orange,orange
Italy,2020-10-14,7332,orange,orange
Italy,2020-10-15,8803,orange,orange
Italy,2020-10-16,10009,orange,orange
Italy,2020-10-17,10925,orange,orange
Italy,2020-10-18,11705,orange,orange
Italy,2020-10-19,9337,orange,orange
Italy,2020-10-20,10871,orange,orange
Italy,2020-10-21,15199,orange,orange
Italy,2020-10-22,16078,orange,orange
Italy,2020-10-23,19143,orange,orange
Italy,2020-10-24,19640,orange,orange
Italy,2020-10-25,21273,orange,orange
Italy,2020-10-26,17007,orange,orange
Italy,2020-10-27,21989,orange,orange
Italy,2020-10-28,24988,orange,orange
Italy,2020-10-29,26829,orange,orange
Italy,2020-10-30,31079,orange,orange
Italy,2020-10-31,31756,orange,orange
Italy,2020-11-01,29905,orange,orange
Italy,2020-11-02,22253,orange,orange
Italy,2020-11-03,28241,orange,orange
Italy,2020-11-04,30548,orange,orange
Italy,2020-11-05,34502,orange,orange
Italy,2020-11-06,37802,orange,orange
Italy,2020-11-07,39809,orange,orange
Italy,2020-11-08,32614,orange,orange
Italy,2020-11-09,25269,orange,orange
Italy,2020-11-10,35090,orange,orange
Italy,2020-11-11,32961,orange,orange
Italy,2020-11-12,37977,orange,orange
Italy,2020-11-13,40902,orange,orange
Italy,2020-11-14,37249,orange,orange
Italy,2020-11-15,33977,orange,orange
Italy,2020-11-16,27352,orange,orange
Italy,2020-11-17,32191,orange,orange
Italy,2020-11-18,34280,orange,orange
Italy,2020-11-19,36176,orange,orange
Italy,2020-11-20,37239,orange,orange
Italy,2020-11-21,34764,orange,orange
Italy,2020-11-22,28337,orange,orange
Italy,2020-11-23,22927,orange,orange
Italy,2020-11-24,23227,orange,orange
Italy,2020-11-25,25852,orange,orange
Italy,2020-11-26,29001,orange,orange
Italy,2020-11-27,28342,orange,orange
Italy,2020-11-28,26315,orange,orange
Italy,2020-11-29,20646,orange,orange
Italy,2020-11-30,16376,orange,orange
Italy,2020-12-01,19347,orange,orange
Italy,2020-12-02,20709,orange,orange
Italy,2020-12-03,23219,orange,orange
Italy,2020-12-04,24110,orange,orange
Italy,2020-12-05,21052,orange,orange
Italy,2020-12-06,18887,orange,orange
Italy,2020-12-07,13679,orange,orange
Italy,2020-12-08,14837,orange,orange
Italy,2020-12-09,12755,orange,orange
Italy,2020-12-10,16998,orange,orange
Italy,2020-12-11,18726,orange,orange
Italy,2020-12-12,19902,orange,orange
Italy,2020-12-13,17937,orange,orange
Italy,2020-12-14,12025,orange,orange
Italy,2020-12-15,14839,orange,orange
Italy,2020-12-16,17568,orange,orange
Italy,2020-12-17,18233,orange,orange
Italy,2020-12-18,15401,orange,orange
Italy,2020-12-19,16305,orange,orange
Italy,2020-12-20,15102,orange,orange
Italy,2020-12-21,10869,orange,orange
Italy,2020-12-22,13316,orange,orange
Italy,2020-12-23,13908,orange,orange
Italy,2020-12-24,18039,orange,orange
Italy,2020-12-25,19037,orange,orange
Italy,2020-12-26,10405,orange,orange
Italy,2020-12-27,8937,orange,orange
Italy,2020-12-28,8581,orange,orange
Italy,2020-12-29,11210,orange,orange
Italy,2020-12-30,16202,orange,orange
Italy,2020-12-31,23477,orange,orange
Italy,2021-01-01,22210,orange,orange
Italy,2021-01-02,11825,orange,orange
Italy,2021-01-03,14245,orange,orange
Italy,2021-01-04,10798,orange,orange
Italy,2021-01-05,15375,orange,orange
Italy,2021-01-06,20326,orange,orange
Italy,2021-01-07,18416,orange,orange
Italy,2021-01-08,17529,orange,orange
Italy,2021-01-09,19976,orange,orange
Italy,2021-01-10,18625,orange,orange
Italy,2021-01-11,12530,orange,orange
Italy,2021-01-12,14242,orange,orange
Italy,2021-01-13,15773,orange,orange
Italy,2021-01-14,17243,orange,orange
Italy,2021-01-15,16144,orange,orange
Italy,2021-01-16,16310,orange,orange
Italy,2021-01-17,12544,orange,orange
Italy,2021-01-18,8825,orange,orange
Italy,2021-01-19,10496,orange,orange
Italy,2021-01-20,13568,orange,orange
Italy,2021-01-21,14055,orange,orange
Italy,2021-01-22,13633,orange,orange
Italy,2021-01-23,13331,orange,orange
Italy,2021-01-24,11628,orange,orange
Italy,2021-01-25,8559,orange,orange
Italy,2021-01-26,10584,orange,orange
Italy,2021-01-27,15191,orange,orange
Italy,2021-01-28,14360,orange,orange
Italy,2021-01-29,13563,orange,orange
Italy,2021-01-30,12713,orange,red
Italy,2021-01-31,11249,orange,red
Italy,2021-02-01,7925,orange,red
Italy,2021-02-02,9651,orange,red
Italy,2021-02-03,13182,orange,red
Italy,2021-02-04,13656,orange,red
Italy,2021-02-05,14213,orange,red
Italy,2021-02-06,13439,orange,red
Italy,2021-02-07,11640,orange,red
Italy,2021-02-08,7969,orange,red
Italy,2021-02-09,10612,orange,red
Italy,2021-02-10,12947,orange,red
Italy,2021-02-11,15137,orange,red
Italy,2021-02-12,13893,orange,red
Italy,2021-02-13,13523,orange,red
Italy,2021-02-14,11060,orange,red
Italy,2021-02-15,7344,orange,red
Italy,2021-02-16,10368,orange,red
Italy,2021-02-17,12066,orange,red
Italy,2021-02-18,13755,orange,red
Italy,2021-02-19,15470,orange,red
Italy,2021-02-20,14914,orange,red
Italy,2021-02-21,13450,orange,red
Italy,2021-02-22,9617,orange,red
Italy,2021-02-23,13299,orange,red
Italy,2021-02-24,16402,orange,red
Italy,2021-02-25,19871,orange,red
Italy,2021-02-26,20488,orange,red
Italy,2021-02-27,18902,orange,red
Italy,2021-02-28,17440,orange,red
Italy,2021-03-01,13106,orange,red
Italy,2021-03-02,17063,orange,red
Italy,2021-03-03,20840,orange,red
Italy,2021-03-04,22845,orange,red
Italy,2021-03-05,24010,orange,red
Italy,2021-03-06,23633,orange,red
Italy,2021-03-07,20724,orange,orange
Italy,2021-03-08,13882,orange,orange
Italy,2021-03-09,19725,orange,orange
Italy,2021-03-10,22275,orange,orange
Italy,2021-03-11,25649,orange,orange
Italy,2021-03-12,26790,orange,orange
Italy,2021-03-13,26031,orange,orange
Italy,2021-03-14,21304,orange,orange
Italy,2021-03-15,15252,orange,orange
Italy,2021-03-16,20376,orange,orange
Italy,2021-03-17,23040,orange,orange
Italy,2021-03-18,24901,orange,orange
Italy,2021-03-19,25707,orange,orange
Italy,2021-03-20,23913,orange,orange
Italy,2021-03-21,20045,orange,orange
Italy,2021-03-22,24501,orange,orange
Italy,2021-03-23,18739,orange,orange
Italy,2021-03-24,21246,orange,orange
Italy,2021-03-25,23681,orange,orange
Italy,2021-03-26,24076,orange,orange
Italy,2021-03-27,23834,orange,orange
Italy,2021-03-28,19604,orange,orange
Italy,2021-03-29,12900,orange,orange
Italy,2021-03-30,16055,orange,orange
Italy,2021-03-31,23887,orange,orange
Italy,2021-04-01,22184,orange,orange
Italy,2021-04-02,21917,orange,orange
Italy,2021-04-03,21247,orange,orange
Italy,2021-04-04,18017,orange,orange
Italy,2021-04-05,10680,orange,orange
Italy,2021-04-06,7763,orange,orange
Italy,2021-04-07,13686,orange,orange
Italy,2021-04-08,17209,orange,orange
Italy,2021-04-09,18924,orange,orange
Italy,2021-04-10,17551,orange,orange
Italy,2021-04-11,15737,orange,orange
Italy,2021-04-12,9780,orange,orange
Italy,2021-04-13,13439,orange,orange
Italy,2021-04-14,16160,orange,orange
Italy,2021-04-15,16963,orange,orange
Italy,2021-04-16,15923,orange,orange
Italy,2021-04-17,15364,orange,orange
Italy,2021-04-18,12688,orange,orange
Italy,2021-04-19,8863,orange,orange
Italy,2021-04-20,12069,orange,orange
Italy,2021-04-21,13836,orange,orange
Italy,2021-04-22,16046,orange,orange
Italy,2021-04-23,14758,orange,orange
Italy,2021-04-24,13814,orange,orange
Italy,2021-04-25,13157,orange,orange
Italy,2021-04-26,8440,orange,orange
Italy,2021-04-27,10398,orange,orange
Italy,2021-04-28,13382,orange,orange
Italy,2021-04-29,14314,orange,orange
Italy,2021-04-30,13445,orange,orange
Italy,2021-05-01,12964,orange,orange
Italy,2021-05-02,9145,orange,orange
Italy,2021-05-03,5946,orange,orange
Italy,2021-05-04,9113,orange,orange
Italy,2021-05-05,10579,orange,orange
Italy,2021-05-06,11798,orange,orange
Italy,2021-05-07,10549,orange,orange
Italy,2021-05-08,10174,orange,orange
Italy,2021-05-09,8289,orange,orange
Italy,2021-05-10,5077,orange,orange
Italy,2021-05-11,6943,orange,orange
Italy,2021-05-12,7848,orange,orange
Italy,2021-05-13,8082,orange,orange
Italy,2021-05-14,7562,orange,orange
Italy,2021-05-15,6652,orange,orange
Italy,2021-05-16,5748,orange,orange
Italy,2021-05-17,3454,orange,orange
Italy,2021-05-18,4449,orange,orange
Italy,2021-05-19,5500,orange,orange
Italy,2021-05-20,5736,orange,orange
Italy,2021-05-21,5215,orange,orange
Italy,2021-05-22,4714,orange,orange
Italy,2021-05-23,3993,orange,orange
Italy,2021-05-24,2489,orange,orange
Italy,2021-05-25,3220,orange,orange
Italy,2021-05-26,3935,orange,orange
Italy,2021-05-27,4143,orange,orange
Italy,2021-05-28,3737,orange,orange
Italy,2021-05-29,3348,orange,orange
Italy,2021-05-30,2948,orange,orange
Italy,2021-05-31,1818,orange,orange
Italy,2021-06-01,2483,orange,orange
Italy,2021-06-02,2896,orange,orange
Italy,2021-06-03,1963,orange,orange
Italy,2021-06-04,2556,orange,orange
Italy,2021-06-05,2434,orange,orange
Italy,2021-06-06,2275,orange,orange
Italy,2021-06-07,1270,orange,orange
Italy,2021-06-08,1894,orange,orange
Italy,2021-06-09,2198,orange,orange
Italy,2021-06-10,2078,orange,orange
Italy,2021-06-11,1892,orange,orange
Italy,2021-06-12,1722,orange,orange
Italy,2021-06-13,1390,orange,orange
Italy,2021-06-14,907,orange,orange
Italy,2021-06-15,1253,orange,orange
Italy,2021-06-16,1400,orange,orange
Italy,2021-06-17,1323,orange,orange
Italy,2021-06-18,1147,orange,orange
Italy,2021-06-19,1193,orange,orange
Italy,2021-06-20,881,orange,orange
Italy,2021-06-21,484,orange,orange
Italy,2021-06-22,834,orange,orange
Italy,2021-06-23,1140,orange,orange
Italy,2021-06-24,266,orange,orange
Italy,2021-06-25,751,orange,orange
,,,orange,orange
,,,orange,orange